author_id,name,fields_of_study,publication_count,h_index,citation_count,avg_self_similarity,std_self_similarity
A5120644361,Christina Nelson,Physics and Astronomy; Computer Science,33,7,99,,
A5111312460,S. C. Nowicki,Physics and Astronomy,22,7,358,,
A5105727262,Steffen Staerz,Physics and Astronomy; Computer Science,55,7,143,,
A5107951227,M. Robles Manzano,Physics and Astronomy,8,7,160,,
A5073127722,Marina Olivares,Physics and Astronomy; Medicine; Agricultural and Biological Sciences,22,7,427,,
A5107932646,C. Nelson,Physics and Astronomy,8,7,260,,
A5107892738,A. J. Chuinard,Physics and Astronomy,8,7,254,,
A5106287035,M. Schram,Physics and Astronomy,8,7,515,,
A5105936051,S. Pashapour,Physics and Astronomy,8,7,365,,
A5015694950,R. Kluiving,"Physics and Astronomy; Mathematics; Economics, Econometrics and Finance",12,7,114,,
A5051072971,Youri Kaitoukov,Medicine; Engineering; Physics and Astronomy,16,7,184,,
A5108274260,J. F. Cliche,Physics and Astronomy; Engineering,13,7,218,,
A5005652093,Kh Arif Shahriar,Engineering; Physics and Astronomy,22,7,132,,
A5091042865,Lynn R. Ziegler,Neuroscience; Physics and Astronomy; Medicine,17,7,128,,
A5106749934,Theodoros Vafeiadis,Physics and Astronomy; Computer Science,24,7,115,,
A5054832750,A. D. Beath,"Physics and Astronomy; Economics, Econometrics and Finance; Materials Science",17,7,121,,
A5101566415,He Zhu,Computer Science; Physics and Astronomy; Engineering,37,7,192,,
A5059876765,M. H. Johnston,Materials Science; Engineering; Physics and Astronomy,37,7,174,,
A5107862151,G. Smecher,Physics and Astronomy,13,7,242,,
A5111640239,Eleanore Irvine,Engineering; Materials Science; Physics and Astronomy,18,7,293,,
A5110095877,Daniel Vernon,Physics and Astronomy; Mathematics; Materials Science,18,7,148,,
A5072962088,Sasa Ristic,Engineering; Physics and Astronomy,38,7,506,,
A5109421568,Mark J. Stern,"Biochemistry, Genetics and Molecular Biology; Engineering; Physics and Astronomy",18,7,352,,
A5107914050,J. P. Mc Gowan,Physics and Astronomy,18,7,296,,
A5109271594,S. E. Mclachlin,Physics and Astronomy; Engineering,7,7,384,,
A5109237468,D.H. Saxon,Physics and Astronomy,7,7,248,,
A5107945984,B. A. Roberts,Physics and Astronomy; Engineering,7,7,165,,
A5106672684,H. Guler,Physics and Astronomy,7,7,587,,
A5105936617,M. Stoebe,Physics and Astronomy,7,7,495,,
A5105782419,A. Robichaud-Veronneau,Physics and Astronomy,7,7,552,,
A5105693553,S. E. Mclachlin,Physics and Astronomy; Medicine,7,7,331,,
A5088964208,Miguel Correia,Physics and Astronomy,25,7,136,,
A5105522430,R. Mantifel,Physics and Astronomy,7,7,461,,
A5105344745,K. Kordas,Physics and Astronomy,7,7,487,,
A5105295931,R. Snihur,Physics and Astronomy,7,7,495,,
A5105123816,S. Pashapour,Physics and Astronomy,7,7,507,,
A5104493411,C.D. Catterall,Physics and Astronomy; Engineering,7,7,440,,
A5041237352,Tanner Connell,Physics and Astronomy; Medicine; Agricultural and Biological Sciences,25,7,179,,
A5060789501,Louis-Philippe Bergeron-Sandoval,"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy",13,7,731,,
A5066961178,M. Roseman,Physics and Astronomy,10,7,139,,
A5054173403,K. Oxorn,Physics and Astronomy; Engineering,10,7,127,,
A5045452834,Madeleine Anthonisen,"Neuroscience; Physics and Astronomy; Biochemistry, Genetics and Molecular Biology",13,7,200,,
A5101851471,Chris Finlay,Computer Science; Physics and Astronomy,19,7,213,,
A5034444521,T. Rosin,Engineering; Physics and Astronomy,26,7,194,,
A5071523559,Zarif Kader,Physics and Astronomy; Earth and Planetary Sciences,19,7,773,,
A5107903645,C. Nelson,Physics and Astronomy,6,6,132,,
A5107894650,S. Saha,Physics and Astronomy,6,6,367,,
A5107831958,R. Mantifel,Physics and Astronomy,6,6,605,,
A5107346144,M. Schram,Physics and Astronomy,6,6,485,,
A5107276985,H. Guler,Physics and Astronomy; Computer Science,6,6,465,,
A5107007637,A. Robichaud-Veronneau,Physics and Astronomy,6,6,453,,
A5106747889,V. Necula,Physics and Astronomy,6,6,250,,
A5106312510,P. M. Patel,Physics and Astronomy,6,6,265,,
A5105690268,I. Vollrath,Physics and Astronomy,6,6,401,,
A5105526519,S. E. Mclachlin,Physics and Astronomy; Engineering,6,6,342,,
A5105466890,P.-H. Beauchemin,Physics and Astronomy,6,6,286,,
A5105299483,S. Pashapour,Physics and Astronomy,6,6,545,,
A5105296494,R. Mantifel,Physics and Astronomy,6,6,516,,
A5105158822,S. Pashapour,Physics and Astronomy,6,6,206,,
A5005792082,Mathieu Giroux,Physics and Astronomy; Mathematics,27,6,161,,
A5108870757,J. P. Mc Gowan,Physics and Astronomy,28,6,280,,
A5083417173,Jagtar Singh Hunjan,"Engineering; Physics and Astronomy; Biochemistry, Genetics and Molecular Biology",14,6,194,,
A5078311529,Benedetta Di Erasmo,Chemistry; Engineering; Physics and Astronomy,14,6,121,,
A5105038937,Shenyang Huang,Physics and Astronomy; Computer Science; Materials Science,43,6,120,,
A5073906991,Simon Gauvin,Medicine; Physics and Astronomy,14,6,77,,
A5059547116,X. Zhu,Engineering; Physics and Astronomy,14,6,213,,
A5107937727,T. Vafeiadis,Physics and Astronomy,11,6,334,,
A5102707417,S. Yousef,Physics and Astronomy; Materials Science; Chemistry,11,6,96,,
A5024973800,Kevin E. H. Anderson,Materials Science; Engineering; Physics and Astronomy,14,6,859,,
A5065204025,Keiko Oyama Gannon,Materials Science; Chemistry; Physics and Astronomy,7,6,94,,
A5086727250,Alexandra Neumann,Physics and Astronomy; Materials Science; Medicine,11,6,109,,
A5076536252,Faiyaz Al Zamal,Physics and Astronomy; Computer Science; Decision Sciences,6,6,401,,
A5006221518,Radu Comsa,Materials Science; Engineering; Physics and Astronomy,14,6,159,,
A5092532046,Lindsay M. Berkhout,Physics and Astronomy; Engineering,15,6,74,,
A5089603823,Mahdi Malekiha,Engineering; Physics and Astronomy,15,6,184,,
A5103234861,Wei Qi,Engineering; Physics and Astronomy,20,6,134,,
A5054987411,Yu Yuan,"Materials Science; Physics and Astronomy; Biochemistry, Genetics and Molecular Biology",28,6,82,,
A5043307719,Timothy Gonzalez,Physics and Astronomy; Engineering; Chemical Engineering,11,6,134,,
A5023938649,Mona Jalilvand,Physics and Astronomy,11,6,165,,
A5033320202,Raminder Gill,Neuroscience; Physics and Astronomy; Materials Science,15,6,262,,
A5016074470,Hanh D. M. Pham,Physics and Astronomy; Chemistry; Chemical Engineering,11,6,125,,
A5110074030,M. He,Physics and Astronomy; Computer Science,16,6,266,,
A5107901364,N. Warrack,Physics and Astronomy,12,6,304,,
A5104302616,Nouf F. AlQahtani,Physics and Astronomy; Engineering,12,6,103,,
A5107913155,Zhou Zhou,Engineering; Physics and Astronomy,21,6,376,,
A5093257135,Bikash Kharel,Physics and Astronomy; Earth and Planetary Sciences,21,6,143,,
A5083357703,Cristyn B. Williams,Neuroscience; Physics and Astronomy; Psychology,12,6,299,,
A5100550284,Jinyu Zhou,"Environmental Science; Biochemistry, Genetics and Molecular Biology; Physics and Astronomy",22,6,289,,
A5101298257,Shiyi Liang,Physics and Astronomy; Computer Science,54,6,113,,
A5107916527,C. Nelson,Physics and Astronomy,8,6,280,,
A5057737574,Liam Carroll,Medicine; Physics and Astronomy; Engineering,16,6,128,,
A5052840061,Jessica Churchill,Physics and Astronomy; Engineering,16,6,120,,
A5051518544,Andreas Wallucks,Physics and Astronomy; Engineering; Computer Science,22,6,293,,
A5036033182,Yasmeen Hitti,Agricultural and Biological Sciences; Physics and Astronomy; Computer Science,9,6,120,,
A5109195639,J. M. Blair,Mathematics; Computer Science; Physics and Astronomy,13,6,367,,
A5031903723,Stephanie D. Warner,Environmental Science; Physics and Astronomy; Earth and Planetary Sciences,9,6,130,,
A5029390810,Thomas C. Abbott,Physics and Astronomy; Computer Science; Earth and Planetary Sciences,16,6,92,,
A5024221033,M. Bourg,Physics and Astronomy; Chemistry; Earth and Planetary Sciences,9,6,476,,
A5024186133,Lynda Cockins,Physics and Astronomy; Engineering,9,6,272,,
A5098489779,Charles St-Arnault,Engineering; Physics and Astronomy,23,6,102,,
A5034012305,Piotr Pater,Medicine; Physics and Astronomy,35,6,268,,
A5011441186,N. B. de Takacsy,Physics and Astronomy; Engineering,9,6,167,,
A5106634373,Tony T.Y. Lin,Physics and Astronomy,13,6,145,,
A5049079513,Thomas M. Fitzgerald,Engineering; Physics and Astronomy,24,6,128,,
A5113946597,Samuel Cheng,Engineering; Physics and Astronomy,18,6,90,,
A5107924722,S. H. Robertson,Physics and Astronomy,7,6,160,,
A5107916466,R. Hulsken,Physics and Astronomy,7,6,142,,
A5105190488,A. Robinson,Physics and Astronomy,7,6,306,,
A5055987019,Zhuoran Wang,Physics and Astronomy; Engineering,25,6,94,,
A5038730671,G. Honnouvo,Physics and Astronomy; Mathematics,18,6,127,,
A5110856673,Jon P. Webb,Engineering; Physics and Astronomy,26,6,93,,
A5105938447,Miranda Jackson,Physics and Astronomy; Computer Science,26,6,340,,
A5046740196,W. N. Rowan‐Weetaluktuk,Physics and Astronomy; Materials Science; Engineering,13,6,584,,
A5111934887,A. Robichaud-Veronneau,Physics and Astronomy; Computer Science,6,6,2050,,
A5111932912,B. Hinrichsen,Physics and Astronomy,6,6,243,,
A5111932279,H. Guler,Physics and Astronomy,6,6,371,,
A5080869094,J.M. Cruz-Hernandez,Engineering; Materials Science; Physics and Astronomy,7,6,382,,
A5110083446,P. M. Patel,Physics and Astronomy,6,6,264,,
A5108075164,N. Hussain,Physics and Astronomy,6,6,177,,
A5107921508,Z. Li,Physics and Astronomy,6,6,123,,
A5107916478,T. Kwan,Physics and Astronomy,6,6,146,,
A5107907326,S. Saha,Physics and Astronomy,6,6,175,,
A5083256582,Yixiang Hu,Engineering; Physics and Astronomy,19,6,127,,
A5062035929,Jingyu Sun,"Biochemistry, Genetics and Molecular Biology; Medicine; Physics and Astronomy",19,6,98,,
A5105718201,Theodoros Vafeiadis,Physics and Astronomy; Computer Science,27,6,82,,
A5103202955,M.F. James,Engineering; Physics and Astronomy,27,6,206,,
A5107885318,X. Li,Physics and Astronomy,6,5,449,,
A5106542339,S. H. Robertson,Physics and Astronomy,6,5,451,,
A5105685087,P. M. Patel,Physics and Astronomy; Medicine,6,5,110,,
A5105187609,M. Schram,Physics and Astronomy,6,5,338,,
A5028206585,Mohamad Ataya,Chemistry; Chemical Engineering; Physics and Astronomy,10,5,112,,
A5103174644,Milani Sivapragasam,Medicine; Physics and Astronomy,6,5,97,,
A5109636321,D. Robinson,Physics and Astronomy,14,5,581,,
A5027187959,Justin Huneault,Engineering; Physics and Astronomy; Materials Science,27,5,101,,
A5013133795,Jared Splinter,Physics and Astronomy; Engineering,19,5,161,,
A5077911778,Micheline Gosselin,Physics and Astronomy; Medicine; Dentistry,14,5,110,,
A5111197394,G. Bédard,Medicine; Physics and Astronomy,20,5,186,,
A5067723943,David Herrera,Physics and Astronomy; Computer Science; Medicine,14,5,163,,
A5001498056,B. Irwin,Physics and Astronomy,10,5,80,,
A5108132551,R. Hulsken,Physics and Astronomy,9,5,57,,
A5107916971,R. Hulsken,Physics and Astronomy,9,5,167,,
A5107912530,C. Nelson,Physics and Astronomy,9,5,77,,
A5107932460,R. J. Ward,Physics and Astronomy,11,5,248,,
A5107868486,Graeme Smecher,Physics and Astronomy,11,5,133,,
A5060893977,Ollivier Dyens,Computer Science; Arts and Humanities; Physics and Astronomy,28,5,140,,
A5103159546,Christopher McLaughlin,Medicine; Physics and Astronomy,11,5,98,,
A5090502290,C.-Y. Li,Engineering; Materials Science; Physics and Astronomy,9,5,185,,
A5077284142,D.K. McMillan,"Physics and Astronomy; Earth and Planetary Sciences; Biochemistry, Genetics and Molecular Biology",6,5,113,,
A5064524483,M. Savard,Physics and Astronomy; Engineering,7,5,119,,
A5061427541,Stephen Kishner,Materials Science; Chemical Engineering; Physics and Astronomy,7,5,88,,
A5086606925,M. Imrul Kayes,Physics and Astronomy; Engineering,11,5,111,,
A5079682283,Hannah Fronenberg,Physics and Astronomy,9,5,46,,
A5017426967,M. Mony,Engineering; Physics and Astronomy,14,5,90,,
A5074558703,J. E. Chisham,Engineering; Physics and Astronomy; Materials Science,9,5,145,,
A5105870210,X. Y. Shen,Physics and Astronomy,15,5,117,,
A5056970822,Vahid Shahabadi,Physics and Astronomy; Engineering; Earth and Planetary Sciences,11,5,138,,
A5070817660,Iman Gholami,Engineering; Physics and Astronomy; Environmental Science,5,5,68,,
A5068915118,Eric Thul,Neuroscience; Computer Science; Physics and Astronomy,5,5,80,,
A5043534089,Antoine Roy-Gobeil,Engineering; Physics and Astronomy; Chemistry,7,5,94,,
A5066794657,John Mitry,Computer Science; Physics and Astronomy; Neuroscience,5,5,157,,
A5021648384,Evan McNabb,Medicine; Engineering; Physics and Astronomy,29,5,111,,
A5022678098,Nicolas Gastellu,Materials Science; Engineering; Physics and Astronomy,11,5,249,,
A5114222163,R. Juran,Medicine; Physics and Astronomy; Engineering,16,5,135,,
A5110340878,Adele Khavari,"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy; Engineering",16,5,212,,
A5017984102,Björn Morén,Physics and Astronomy; Medicine,20,5,102,,
A5018804648,Oscar Ávila Åkerberg,Neuroscience; Physics and Astronomy; Computer Science,7,5,52,,
A5051724665,D. Lascelles,Environmental Science; Engineering; Physics and Astronomy,6,5,99,,
A5086998206,Tristan L. Britt,Materials Science; Physics and Astronomy,16,5,94,,
A5085952243,Parisa Moslemi,Physics and Astronomy; Engineering,16,5,75,,
A5107942030,C. Nelson,Physics and Astronomy; Computer Science,12,5,247,,
A5084266389,Ajaypal Singh Dhillon,Engineering; Physics and Astronomy,12,5,56,,
A5066676950,Debarshi Patanjali Ghoshal,Engineering; Computer Science; Physics and Astronomy,12,5,111,,
A5057958888,Matthieu Nannini,Engineering; Chemical Engineering; Physics and Astronomy,12,5,93,,
A5049404858,Isaac Mognet,Physics and Astronomy,21,5,750,,
A5110703471,B. Morin,Materials Science; Physics and Astronomy; Chemistry,8,5,90,,
A5062073430,Adel Merdassi,Engineering; Physics and Astronomy,9,5,64,,
A5059661233,J. Deslauriers,Physics and Astronomy,9,5,83,,
A5029872588,Arnaud Lepage-Jutier,Physics and Astronomy; Mathematics,6,5,212,,
A5029802575,Reza Kasrai,Physics and Astronomy; Neuroscience; Psychology,12,5,265,,
A5060370636,Ali Akbarzadeh‐Sharbaf,Engineering; Physics and Astronomy; Computer Science,16,5,69,,
A5024336501,S. Radhakant,Physics and Astronomy; Earth and Planetary Sciences; Environmental Science,12,5,126,,
A5037674703,Miloš Broćić,Social Sciences; Physics and Astronomy,16,5,167,,
A5022119913,Milad Fathabadi,Physics and Astronomy; Engineering; Materials Science,16,5,109,,
A5014964211,J L Tyler,"Medicine; Physics and Astronomy; Biochemistry, Genetics and Molecular Biology",6,5,398,,
A5011964869,Hardik Vala,Computer Science; Physics and Astronomy; Social Sciences,6,5,186,,
A5085862594,Dominique Matte,Engineering; Physics and Astronomy; Materials Science,8,5,140,,
A5084304808,F. Cayouette,Physics and Astronomy; Medicine; Engineering,8,5,181,,
A5021877627,A. A. Clerk,Computer Science; Physics and Astronomy,5,5,344,,
A5112054309,B. G. Clark,Physics and Astronomy; Medicine; Engineering,17,5,219,,
A5111031143,Z. Hockenbery,Physics and Astronomy; Chemistry,17,5,109,,
A5110534940,S. Roose,Physics and Astronomy; Engineering; Computer Science,17,5,816,,
A5106672931,Scott P. Wakely,Physics and Astronomy,17,5,90,,
A5029170501,Bryan Sanctuary,Physics and Astronomy; Mathematics; Medicine,35,5,79,,
A5068763098,B. Parazin,Physics and Astronomy; Environmental Science; Earth and Planetary Sciences,8,5,157,,
A5004865418,Eli Martel,Physics and Astronomy; Materials Science; Engineering,9,5,86,,
A5063312962,Ata Madanchi,"Materials Science; Physics and Astronomy; Economics, Econometrics and Finance",17,5,118,,
A5051078337,Julien Bancheri,Physics and Astronomy; Medicine; Engineering,17,5,75,,
A5057322523,S. Ray,Physics and Astronomy; Computer Science,8,5,82,,
A5111925043,Renato Costa,"Physics and Astronomy; Economics, Econometrics and Finance",7,5,107,,
A5113670894,H. Kim,Physics and Astronomy,5,5,315,,
A5107941438,B. A. Roberts,Physics and Astronomy,7,5,154,,
A5107909808,K. Nelson,Physics and Astronomy; Engineering,7,5,185,,
A5105633473,C. M. Robles Gajardo,Physics and Astronomy,7,5,170,,
A5112257714,Kim Ma,Medicine; Physics and Astronomy; Engineering,25,5,74,,
A5086628416,H. Rasiwala,Physics and Astronomy,18,5,204,,
A5101925093,S. L. Wong,Physics and Astronomy,25,5,72,,
A5111970994,M. Schram,Physics and Astronomy,5,5,321,,
A5111885918,B. Hinrichsen,Physics and Astronomy,5,5,298,,
A5074358488,Nikhil Anand,Physics and Astronomy,13,5,416,,
A5073556891,Hao Jiao,Physics and Astronomy,13,5,172,,
A5109912853,S. H. Robertson,Physics and Astronomy,5,5,516,,
A5109879421,S. H. Robertson,Physics and Astronomy,5,5,198,,
A5042195393,Rania Gamal,Engineering; Physics and Astronomy,8,5,131,,
A5039395183,Ivan Savov,Computer Science; Engineering; Physics and Astronomy,8,5,66,,
A5085602741,J. R. Shea,Earth and Planetary Sciences; Environmental Science; Physics and Astronomy,7,5,202,,
A5105893015,Raphael Alain Hulsken,Physics and Astronomy; Computer Science,26,5,65,,
A5008583895,Y. Afek,Physics and Astronomy,18,5,114,,
A5057843114,Éric Bissonnette,Physics and Astronomy,13,5,128,,
A5048451865,Aaron Mascaro,Physics and Astronomy; Engineering,13,5,123,,
A5107905828,C. Nelson,Physics and Astronomy,5,5,187,,
A5107874944,R. Mantifel,Physics and Astronomy,5,5,305,,
A5107720812,B. Chapleau,Physics and Astronomy,5,5,610,,
A5106454920,S. H. Robertson,Physics and Astronomy,5,5,177,,
A5105985674,R. Janicek,Physics and Astronomy; Mathematics,5,5,305,,
A5105936518,R. Mantifel,Physics and Astronomy,5,5,374,,
A5105420317,M. Schram,Physics and Astronomy,5,5,273,,
A5105236417,M. Klemetti,Physics and Astronomy,5,5,340,,
A5105183658,P. Sinervo,Physics and Astronomy,5,5,86,,
A5105142895,G. Williams,Physics and Astronomy,5,5,155,,
A5104780541,P. M. Patel,Physics and Astronomy,5,5,236,,
A5083782161,Dorothée Almecija,Engineering; Materials Science; Physics and Astronomy,7,5,372,,
A5004337639,Constanza Martínez,"Biochemistry, Genetics and Molecular Biology; Medicine; Physics and Astronomy",18,5,310,,
A5100758645,Yuxuan Xie,Engineering; Physics and Astronomy,19,5,70,,
A5027757639,Ian Hendricksen,Physics and Astronomy; Environmental Science; Engineering,13,5,104,,
A5109218100,A. Robichaud-Veronneau,Physics and Astronomy,6,5,315,,
A5108125221,R. Hulsken,Physics and Astronomy,6,5,168,,
A5081815034,Melissa Mendes,Physics and Astronomy; Earth and Planetary Sciences,19,5,255,,
A5081159730,Eric Bisaillon,Engineering; Materials Science; Physics and Astronomy,19,5,144,,
A5077069415,Olivier Trottier,"Biochemistry, Genetics and Molecular Biology; Neuroscience; Physics and Astronomy",19,5,179,,
A5007564876,Joel Beaudry,Physics and Astronomy; Medicine,26,5,101,,
A5019141112,Alireza Seyedkanani,Engineering; Physics and Astronomy,13,5,231,,
A5103404168,Nelson Lee,Chemistry; Physics and Astronomy; Materials Science,6,4,49,,
A5101679410,Z. Mahmoodi,"Physics and Astronomy; Engineering; Biochemistry, Genetics and Molecular Biology",6,4,47,,
A5017432601,Sjoerd E. Crans,Mathematics; Computer Science; Physics and Astronomy,8,4,209,,
A5040307781,Tamara Ménard,Environmental Science; Physics and Astronomy; Engineering,19,4,70,,
A5107908452,Anindya Dey,Physics and Astronomy; Mathematics,14,4,214,,
A5100755612,Sylvester Zhang,Engineering; Physics and Astronomy; Chemical Engineering,14,4,229,,
A5088979395,C. R. Hu,Physics and Astronomy,5,4,143,,
A5087114137,D. Tootill,Physics and Astronomy; Environmental Science,5,4,69,,
A5084705709,Olivier Laroche,Physics and Astronomy; Engineering,5,4,321,,
A5091058476,Seyedeh Nasim Rezaei,Physics and Astronomy; Decision Sciences; Engineering,6,4,65,,
A5008608391,Michael Caouette-Mansour,Materials Science; Earth and Planetary Sciences; Physics and Astronomy,8,4,29,,
A5007215167,Jérémie Vinet,Physics and Astronomy; Earth and Planetary Sciences,8,4,284,,
A5011284754,M. M. Shapiro,Chemistry; Materials Science; Physics and Astronomy,10,4,192,,
A5005394711,César Cañas,Computer Science; Physics and Astronomy,10,4,79,,
A5047748550,Jennifer Glover,Physics and Astronomy; Earth and Planetary Sciences,14,4,46,,
A5054905774,H. Kim,Physics and Astronomy,4,4,71,,
A5111516725,C. Gingras,Physics and Astronomy,11,4,189,,
A5109866616,E. Lambert,Physics and Astronomy; Chemistry; Earth and Planetary Sciences,11,4,99,,
A5082421578,M. Louisa Newbury,Chemistry; Physics and Astronomy; Medicine,6,4,84,,
A5079033798,Isabelle Jean,Physics and Astronomy; Engineering,6,4,62,,
A5071783196,Kyriakos Moditis,Engineering; Physics and Astronomy,6,4,153,,
A5057894134,Saad Rabbani,Engineering; Physics and Astronomy; Materials Science,7,4,116,,
A5053330779,P. Mercure,Physics and Astronomy; Computer Science,7,4,154,,
A5075222009,Felix Mathew,"Medicine; Physics and Astronomy; Biochemistry, Genetics and Molecular Biology",9,4,52,,
A5064971468,Mohammad Rezagholipour Dizaji,Engineering; Physics and Astronomy,11,4,74,,
A5069943891,Hong Guo,Physics and Astronomy; Materials Science; Computer Science,9,4,50,,
A5074687699,Razvan Ciuca,Physics and Astronomy,5,4,63,,
A5101770489,Arnab Sinha,Physics and Astronomy; Engineering; Computer Science,15,4,127,,
A5044672183,S. Kecani,Medicine; Physics and Astronomy,4,4,100,,
A5051990426,F. Villamagna,"Chemistry; Physics and Astronomy; Biochemistry, Genetics and Molecular Biology",7,4,71,,
A5046409580,Emmanuelle Laprise,Engineering; Physics and Astronomy,7,4,154,,
A5050419316,Behnam Banan,Engineering; Physics and Astronomy,11,4,49,,
A5067877466,Y.S. Liu,Engineering; Physics and Astronomy,5,4,50,,
A5089244398,Catherine L. Stauffer,Earth and Planetary Sciences; Environmental Science; Physics and Astronomy,15,4,248,,
A5075432810,Jonathan Armoza,Medicine; Neuroscience; Physics and Astronomy,15,4,134,,
A5074415206,Mansour Dastmalchi,Physics and Astronomy; Engineering,15,4,87,,
A5064626015,Jalal Al Rahbani,"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy",6,4,57,,
A5064379837,Jessica Beth Polk,Physics and Astronomy; Medicine; Immunology and Microbiology,6,4,123,,
A5062099730,Oscar M. Matus Rivas,Chemistry; Physics and Astronomy; Materials Science,6,4,49,,
A5066944087,Tommy Reddad,Mathematics; Computer Science; Physics and Astronomy,9,4,115,,
A5066460181,Xiaoya Judy Wang,Physics and Astronomy; Materials Science,9,4,57,,
A5066522105,Jeremie Choquette,Physics and Astronomy,5,4,114,,
A5064182967,J. Park,Physics and Astronomy,5,4,216,,
A5060129180,P.J. Boyle,Physics and Astronomy; Medicine,5,4,132,,
A5113542888,Jo rgen Vitting Andersen,Physics and Astronomy; Materials Science; Engineering,4,4,113,,
A5029624614,Luc Dallaire,Medicine; Health Professions; Physics and Astronomy,7,4,417,,
A5029458310,Matthias Westrich,Physics and Astronomy; Computer Science; Mathematics,7,4,74,,
A5111916998,J. Mc Donald,Physics and Astronomy; Engineering,4,4,424,,
A5111844543,Marcel J. Sankeralli,Neuroscience; Physics and Astronomy; Psychology,4,4,237,,
A5009284823,Aline Favero,Physics and Astronomy,11,4,37,,
A5004823976,Heemal Parimoo,Physics and Astronomy; Materials Science; Engineering,11,4,43,,
A5058902289,H. Kim,Physics and Astronomy,6,4,66,,
A5055077220,David St-Amand,Neuroscience; Physics and Astronomy; Psychology,5,4,42,,
A5039625570,Gebrehiwot Tesfay Zeweldi,Engineering; Physics and Astronomy,20,4,111,,
A5002690365,Louis-Sébastien Guimond,Computer Science; Mathematics; Physics and Astronomy,11,4,80,,
A5034817590,A. Chirita,Materials Science; Physics and Astronomy; Engineering,30,4,54,,
A5052646872,B. A. Howarth,Engineering; Physics and Astronomy,5,4,30,,
A5028776516,H. Kim,Physics and Astronomy; Engineering,4,4,64,,
A5013426373,Nicolas Dutil,Computer Science; Physics and Astronomy; Mathematics,7,4,78,,
A5051544742,Rahi Modirnia,Engineering; Physics and Astronomy,6,4,46,,
A5108125131,R. Hulsken,Physics and Astronomy,4,4,107,,
A5108096207,S. Sabik,Physics and Astronomy,4,4,378,,
A5050977562,Olivier Carpentier,Engineering; Physics and Astronomy,6,4,94,,
A5107929745,T. Kwan,Physics and Astronomy,4,4,141,,
A5107923015,N. Warrack,Physics and Astronomy,4,4,106,,
A5107912558,S. H. Robertson,Physics and Astronomy,4,4,216,,
A5049293318,Y.B. Lauziere,Computer Science; Engineering; Physics and Astronomy,5,4,316,,
A5046760090,A. Legault,Physics and Astronomy; Earth and Planetary Sciences,5,4,234,,
A5045904697,P. Varfalvy,Engineering; Physics and Astronomy; Chemistry,5,4,86,,
A5045439662,Andreas Spielhofer,Physics and Astronomy; Engineering,5,4,131,,
A5045063318,C. Chen,"Engineering; Physics and Astronomy; Biochemistry, Genetics and Molecular Biology",5,4,63,,
A5111610510,M.Y. Almaghrabi,"Physics and Astronomy; Medicine; Biochemistry, Genetics and Molecular Biology",21,4,75,,
A5107899951,Scott Wakely,Physics and Astronomy,21,4,49,,
A5107909703,C. Nelson,Physics and Astronomy,4,4,116,,
A5107874697,A. Robichaud-Veronneau,Physics and Astronomy,4,4,405,,
A5107846280,H. Kim,Physics and Astronomy,4,4,215,,
A5107725961,A. Robichaud-Veronneau,Physics and Astronomy,4,4,224,,
A5107310020,M. Klemetti,Physics and Astronomy; Computer Science,4,4,2084,,
A5106764720,I. Vollrath,Physics and Astronomy,4,4,239,,
A5106760192,S. Pashapour,Physics and Astronomy,4,4,224,,
A5106749256,R. M. Seddon,Physics and Astronomy,4,4,46,,
A5106575480,S. E. Mclachlin,Physics and Astronomy,4,4,649,,
A5106286160,M. Schram,Physics and Astronomy; Engineering,4,4,141,,
A5106132083,M. Schram,Physics and Astronomy,4,4,259,,
A5105782353,R. Mantifel,Physics and Astronomy,4,4,517,,
A5105729782,G. Williams,Physics and Astronomy,4,4,194,,
A5105690259,T. Spreitzer,Physics and Astronomy,4,4,309,,
A5105624472,R. A. Keyes,Physics and Astronomy,4,4,286,,
A5105545399,R. M. Seddon,Physics and Astronomy; Medicine,4,4,97,,
A5105535746,S. H. Robertson,Physics and Astronomy,4,4,206,,
A5105299786,A. Marin,Physics and Astronomy,4,4,120,,
A5105285247,A. Marin,Physics and Astronomy,4,4,461,,
A5105274703,P. M. Patel,Physics and Astronomy,4,4,225,,
A5105234402,D. Lindemann,Physics and Astronomy,4,4,179,,
A5105228718,P.-H. Beauchemin,Physics and Astronomy,4,4,188,,
A5105186111,S. Roe,Physics and Astronomy,4,4,769,,
A5105178433,O. Stelzer-Chilton,Physics and Astronomy,4,4,130,,
A5105162315,J. Mc Donald,Physics and Astronomy,4,4,404,,
A5105161311,R. Snihur,Physics and Astronomy,4,4,139,,
A5105142893,T. Spreitzer,Physics and Astronomy,4,4,238,,
A5073260161,Amin Akhshi,Neuroscience; Computer Science; Physics and Astronomy,12,4,70,,
A5069629252,Mirta Dumančić,Physics and Astronomy; Medicine,12,4,62,,
A5002089446,Vanessa Di Lalla,Medicine; Physics and Astronomy,32,4,74,,
A5038231647,Marcel J. Sankeralli,Neuroscience; Physics and Astronomy; Psychology,6,4,156,,
A5054032094,Xuening Dong,Engineering; Neuroscience; Physics and Astronomy,12,4,61,,
A5047045302,Roman Procyk,Mathematics; Physics and Astronomy; Chemistry,12,4,66,,
